"%name,","%name,"
"%s","%s"
"%s - %s","%s - %s"
"-- Select --","Selecione..."
"--Please select--","Selecione..."
"--Please Select--","Selecione..."
"-- Please select --","Selecione..."
"-- Please Select --","Selecione..."
"[store view]","[visão de loja]"
"(ver. %1)","(ver. %1)"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Atenção!</strong> Quando usar o código da loja na URL, em alguns casos o sistema pode apresentar problema se URLs sem o código forem utilizadas por sistemas de terceiros (ex. PayPal e outros)."
"* Required Fields","* Campos Obrigatórios"
"1 column","1 coluna"
"2 columns with left bar","2 colunas com menu à esquerda"
"2 columns with right bar","2 colunas com menu à direita"
"3 columns","3 colunas"
"6 Hours","6 Horas"
"10 by default. Max - 10000","10 por padrão. Max - 10000"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"24 Hours","24 Horas"
"24h","24h"
"255 by default","255 por padrão"
"=========================================================================","A"
"Abandoned Carts","Carrinhos Abandonados"
"Access Denied","Acesso Negado"
"Access Denied.","Acesso Negado."
"Access ID","ID de Acesso"
"Account","Conta"
"Account Information","Informações da Conta"
"Account Number","Número da Conta"
"Account Setting","Configurações da Conta"
"Action","Ação"
"Actions","Ações"
"Add CMS Block","Adicionar Bloco"
"Add New Customer","Novo Cliente"
"Add Product","Novo Produto"
"Add Root Category","Nova Categoria Raiz"
"Add Store Code to Urls","Adicionar Código da Loja nas URLs"
"Add Subcategory","Nova subCategoria"
"Admin Base URL","URL Base do Admin"
"Advanced","Avançado"
"Advanced Search","Busca Avançada"
"ALL","TODOS"
"ALL GROUPS","TODOS OS GRUPOS"
"All","Todos"
"All Customers","Todos os Clientes"
"All other open sessions for this account were terminated.","Todas as sessões existentes para essa mesma conta foram finalizadas."
"All Store Views","Todas as Visões de Loja"
"All Stores","Todas as Lojas"
"All Users","Todos Usuários"
"Allow Anonymous Guest Access","Permitir Acesso Anônimo"
"Allow Countries","Países Permitidos"
"Allow Gift Message","Mensagem Presente"
"Allow for Guests","Permitir Visitantes"
"Allow to Choose State if It is Optional for Country","Permitir escolha de Estado se for Opcional para o País"
"Allowed Currencies","Moedas Permitidas"
"Any","Qualquer"
"API","API"
"Apply","Aplicar"
"Apply Filters","Aplicar Filtros"
"Attribute Set","Definir Atributo"
"Attributes","Atributos"
"Availabe Product Listing Sort By","Ordem de Listagem dos Produtos Disponíveis"
"Average Order","Ticket Médio"
"Auto-redirect to Base URL","Redirecionar automaticamente para a URL Base"
"=========================================================================","B"
"Back","Voltar"
"Backup","Backup"
"Backups","Backups"
"Base","Base"
"Base Currency","Moeda Base"
"Base Link URL","Link URL Base"
"Base URL","URL Base"
"Base URLs","URLs Base"
"Base URLs (Secure)","URLs Base (Segura)"
"Base URL for Static View Files","URL Base para Arquivos Estáticos"
"Base URL for User Media Files","URL Base para Arquivos de Mídia"
"Bestsellers","Mais Vendidos"
"Blocks","Blocos"
"Browser Capabilities Detection","Capacidade de Detecção dos Navegadores"
"Bundle Product","Pacote de Produtos"
"by","por"
"By Customers","Por Clientes"
"By Products","Por Produtos"
"=========================================================================","C"
"Cache Management","Gerenciamento de Cache"
"Cancel","Cancelar"
"Catalog","Catálogo"
"Catalog Price Scope","Escopo do Preço do Catálogo"
"Catalog Price Rule","Regra de Preço no Catálogo"
"Catalog Search","Busca no Catálogo"
"Categories","Categorias"
"Categories Options","Categorias"
"Category Image","Imagem"
"Category Name","Nome"
"Category Top Navigation","Navegação da Categoria"
"Cart Price Rules","Regra de Preço no Carrinho"
"Change status","Alterar status"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Gráfico não habilitado. Clique <a href=""%1"">aqui</a> para habilitar."
"Checkout","Checkout"
"City","Cidade"
"CMS Home Page","CMS Página Inicial"
"CMS homepage content goes here.","Conteúdo da página CMS homepage aparece aqui."
"CMS No Cookies Page","CMS para Cookies Desabilitados"
"CMS No Route Page","CMS para Página Não Encontrada"
"CMS Pages Options","Páginas CMS"
"Communications","Comunicação"
"Collapse All","Recolher"
"Color","Cor"
"Columns","Colunas"
"Confirm Password","Confirmar Senha"
"Configuration","Configuração"
"Configurable Product","Produto Configurável"
"Connection Timeout in Seconds","Limite de Conexão em Segundos"
"Contact Us","Entre em Contato"
"Contacts","Contatos"
"Content","Conteúdo"
"Content Management","Gerenciar Conteúdo"
"Conversion Color","Cor"
"Conversion Format","Formato"
"Conversion ID","ID de Conversão"
"Conversion Label","Texto"
"Conversion Language","Idioma"
"Conversion Value Type","Tipo"
"Cookie Domain","Domínio"
"Cookie Lifetime","Tempo de Vida"
"Cookie Path","Caminho"
"Cookie Restriction Mode","Modo Restrito"
"Copyright &copy; %1 Magento, Inc. All rights reserved.","Copyright &copy; %1 Magento, Inc. Todos os direitos reservados.<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<small>Traduzido por <a href='http://mariosam.com.br/' target='_blank' title='Blog do Mario SAM'>Mario SAM</a></small>"
"Cost","Custo"
"Country","País"
"Country Options","Opções de Países"
"Coupons","Cupons"
"Create an Account","Criar Conta"
"Create New Customer Account","Criar Conta"
"Create New Order","Novo Pedido"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crie sua conta e aproveite os benefícios: velocidade no checkout, cadastro de endereços, monitorar pedidos e muito mais."
"Cron","Cron"
"Cron (Scheduled Tasks)","Cron (Tarefas Agendadas)"
"Custom Email 1","Email Personalizado 1"
"Custom Email 2","Email Personalizado 2"
"Custom Variables","Variáveis Personalizadas"
"Customer Configuration","Configuração de Clientes"
"Customer Groups","Grupos de Clientes"
"Customer Login","Área de Acesso"
"Customer Now Online","Clientes Online"
"Customer Reviews Report","Relatório Avaliação Clientes"
"Customer Support","Suporte ao Cliente"
"Customer View","Visão do Cliente"
"Customers","Clientes"
"Currency","Moeda"
"Currency Options","Opções de Moeda"
"Currency Symbols","Símbolos"
"Currency Setup","Moedas"
"Currency Rates","Currency Rates"
"Current User Identity Verification","Verificar Identidade do Usuário"
"CVV","CVV"
"=========================================================================","D"
"Daily","Diário"
"Dashboard","Painel de Controle"
"Data Transfer","Transferência de Dados"
"Date & Time Custom Options","Opções de Data & Hora"
"Default Cookie Settings","Configuração de Cookies"
"Default Config","Config Padrão"
"Default Country","País Padrão"
"Default Display Currency","Exibir Moeda"
"Default No-route URL","URL Padrão Página Não Encontrada"
"Default Pages","Página Padrão"
"Default Product Listing Sort By","Ordem Padrão de Listagem do Produto"
"Default Store View","Visão da Loja Padrão"
"Default Robots","Robots Padrão"
"Default View","Default View"
"Default Web URL","URL Padrão Web"
"Default welcome msg!","Seja bem-vindo!"
"Delete","Excluir"
"Description","Descrição"
"Design","Visual"
"Developer","Desenvolvedor"
"Disable","Desabilitado"
"Disable Modules Output","Desligar Módulos"
"Display Mode","Modo de Exibição"
"Display Settings","Opções de Exibição"
"Downloads","Downloads"
"Downloadable Product","Produto Digital"
"Downloadable Product Options","Opções de Produto Digital"
"=========================================================================","E"
"Edit custom instruction of robots.txt File","Personalizar arquivo robots.txt"
"Elements","Elementos"
"Email Options","Opções de Email"
"Email Sender","Remetente"
"Email Template","Modelo do Email"
"Email Templates","Modelos de Email"
"Email to a Friend","Email para Amigos"
"Empaty","Vazio"
"Enable","Habilitado"
"Enable CAPTCHA in Admin","Habilitar CAPTCHA no Admin"
"Enable Charts","Habilitar Gráficos"
"Enable Category","Habilitar"
"Enable Contact Us","Hablitar Form de Contato"
"Enable Content Experiments","Permitir Conteúdo Experimental"
"Enable Cron","Habilitar Cron"
"Enable New Relic Integration","Habilitar Integração Relic"
"Enable Single-Store Mode","Habilitar Modo Single-Store"
"Enable for Admin","Habilitar no Admin"
"Enable for Storefront","Habilitar no Frontend"
"Enable WYSIWYG Editor","Editor WYSIWYG"
"Enabled","Habilitar"
"Enabled by Default","Habilitado por Padrão"
"Enter your email address","Digite o seu melhor email"
"Error Email Recipient","Email para Receber Erros"
"Error Email Sender","Remetente do Email"
"Error Email Template","Modelo de Email"
"European Union Countries","Países da União Européia"
"Expand All","Expandir"
"Export","Exportar"
"Extensions","Extensões"
"=========================================================================","F"
"Filters","Filtros"
"Find Partners & Extensions","Empresas & Extensões"
"First Day of Week","Semana Inicia Em"
"First Name","Nome"
"Forgot your password?","Recuperar Senha"
"Forgot Your Password?","Recuperar Senha"
"Frequency","Frequência"
"From","De"
"=========================================================================","G"
"General","Geral"
"General Contact","Contato Geral"
"Generation Settings","Gerar Sitemap"
"global","global"
"Google API","API Google"
"Grouped Product","Pacote de Produtos"
"=========================================================================","H"
"Home Page","Página Inicial"
"Hold","Segurar"
"=========================================================================","I"
"I.e. redirect from http://example.com/store/ to http://www.example.com/store/","Ex.: redirecionar http://exemplo.com/loja/ para http://www.exemplo.com/loja/"
"ID","ID"
"If you have an account, sign in with your email address.","Se você já é cliente, informe seu email para acessar sua conta."
"Import","Importar"
"Import History","Importar Histórico"
"Import/Export Tax Rates","Importar/Exportar Taxas"
"Include in Menu","Incluir no Menu"
"Index Management","Gerenciamento de Indices"
"Invalid Form Key. Please refresh the page","Form Key Inválido. Atualize a página."
"Inventory","Estoque"
"Invoiced","Faturado"
"Invoices","Faturas"
"Insights API URL","URL de Insights da API"
"Installed Currencies","Moedas Instaladas"
"Interface Locale","Idioma do Sistema"
"Integrations","Integração"
"=========================================================================","J"
"=========================================================================","K"
"=========================================================================","L"
"Last Activity","Última Atividade"
"Last Name","Sobrenome"
"Last Orders","Últimos Pedidos"
"Last Search Terms","Últimas Buscas"
"Layered Navigation","Navegação em Camadas"
"Layout","Leiaute"
"Layout Update XML","Atualização por XML"
"Lifetime Sales","Período de Vendas"
"Limit Sending By","Limitar Envio Por"
"Locale","Idioma"
"Locale Options","Localização"
"Locked Users","Usuários Bloqueados"
"Low Stock","Baixo Estoque"
"=========================================================================","M"
"Main Website","Website Principal"
"Main Website Store","Website Loja Principal"
"Manage Encryption Key","Chave de Criptografia"
"Magento Web API","API Magento"
"Marketing","Marketing"
"Max Products Sent in 1 Hour","Max de Envios em 1 Hora"
"Max Recipients","Max de Pessoas"
"Medium","Médio"
"Meta Description","Descrição"
"Meta Keywords","Palavras-chave"
"Meta Title","Título"
"Monthly","Mensal"
"Most Viewed Products","Produtos Mais Visitados"
"Multishipping Settings","Múltiplos Envios"
"My Account","Minha Conta"
"=========================================================================","N"
"Name","Nome"
"New","Novo"
"New Customers","Novos Clientes"
"New Password","Nova Senha"
"New Relic Reporting","Novos Relatórios Relic"
"New Theme","Novo Tema"
"Newsletter","Newsletter"
"Newsletter Problem Reports","Problemas na Newsletter"
"Newsletter Subscribers","Assinantes da Newsletter"
"Newsletter Template","Modelo de Newsletter"
"Newsletter Queue","Fila de Newsletter"
"Now Online","Online Agora"
"No","Não"
"No layout updates","Sem mudanças"
"No Password","Aguardando"
"Notifications","Mensagens"
"=========================================================================","O"
"OAuth","OAuth"
"of %1","de %1"
"Offloader header","Cabeçalho Offloader"
"Operations","Operações"
"or","ou"
"Order #%1","Pedido #%1"
"Order Status","Status de Pedidos"
"Orders","Pedidos"
"Orders and Returns","Pedidos e Devoluções"
"Other Settings","Outras Configurações"
"=========================================================================","P"
"Pages","Páginas"
"Password","Senha"
"Password Confirmation","Confirmar Senha"
"Password Strength","Força da Senha"
"Payment Methods","Formas de Pagamento"
"PDF Print-outs","Gerar PDF"
"per page","por página"
"Permissions","Permissões"
"Persistent Shopping Cart","Persistência no Carrinho"
"Personal Information","Dados Pessoais"
"Please select a static block.","Selecione um bloco..."
"Price","Preços"
"Print All","Imprimir Tudo"
"Print Invoices","Imprimir Faturas"
"Product","Produto"
"Product Alerts","Alerta da Produtos"
"Product Alerts Run Settings","Opções de Disparo de Alertas"
"Product Image Placeholders","Imagem Reserva dos Produtos"
"Product Fields Auto-Generation","Gerador Automático para Campos do Produto"
"Product only","Apenas produtos"
"Product Reviews","Avaliação de Produtos"
"Product Stock Options","Opções de Estoque do Produto"
"Product Video","Vídeo dos Produtos"
"Products","Produtos"
"Products in Category","Produtos na Categoria"
"Products in Cart","Produtos no Carrinho"
"Promotions","Promoções"
"Privacy and Cookie Policy","Política de Privacidade"
"Position","Posição"
"=========================================================================","Q"
"Quantity","Quantidade"
"=========================================================================","R"
"Recenlty Viewed/Compared Products","Produtos Comparados/Visitados"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para página de CMS se os Cookies estiverem desabilitados"
"Refresh Statistics","Atualizar Estatísticas"
"Refunds","Estornos"
"Region/State","Estado"
"Registered Customers","Clientes"
"Reload Data","Recarregar"
"Reports","Relatórios"
"Report Bugs","Reportar Falhas"
"Reset","Limpar"
"Reset Filter","Limpar Filtros"
"Reset to Default","Restaurar"
"Reset to Defaults","Restaurar Padrão"
"Revenue","Receita"
"Reviews","Avaliações"
"RSS Feeds","Feed RSS"
"=========================================================================","S"
"Sales","Vendas"
"Sales Emails","Emails de Venda"
"Sales Representative","Representante de Vendas"
"Save","Salvar"
"Save Account","Salvar"
"Save Config","Salvar"
"Schedule","Agendamento"
"Schedule Design Update","Agendar Atualização"
"Schedule Update From","Inicia em"
"Search","Buscar"
"Search by keyword","Procurar por palavra-chave"
"Search entire store here...","Digite aqui sua busca..."
"Search Engine Optimization","Otimização do Sistema de Busca"
"Search Engine Robots","Robôs de Busca"
"Search Engine Submissions Settings","Motor de Envio"
"Search Synonyms","Tabela de Sinônimos"
"Search Terms","Termos de Busca"
"Select Email Template","Selecionar Modelo de Email"
"Send Emails To","Enviar Emails Para"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"SEO & Search","SEO & Busca"
"Service","Serviço"
"Services","Serviços"
"Session Validation Settings","Opções de Validação de Sessão"
"Settings","Ajustes"
"Shedule","Agendamento"
"Scheduled Import Settings","Importação Agendada"
"Shipping","Entrega"
"Shipping Methods","Formas de Envio"
"Shipping Settings","Configuração de Envio"
"Shipments","Entregas"
"Sign Up for Newsletter","Assinar Newsletter"
"Sign in","Entrar"
"Sign In","Entrar"
"Sign-in Information","Dados de Acesso"
"Simple Product","Produto Simples"
"Site Map","Mapa do Site"
"Sitemap File Limits","Limites do Arquivo"
"SKU","SKU"
"Show Breadcrumbs for CMS Pages","Exibir Migalhas nas Páginas CMS"
"Show Notice if JavaScript is Disabled","Exibir aviso se Javascript estiver desabilitado"
"Show Notice if Local Storage is Disabled","Exibir aviso se Armazenamento Local estiver desabilitado"
"Sign in","Entrar"
"Sign Out","Sair"
"Sign In or Create an Account","Entrar ou Criar uma Conta"
"Single-Store Mode","Modo Single-Store"
"Special Price","Preço Promocional"
"State is Required for","Estado Obrigatório para"
"State Options","Opções de Estados"
"Static block only","Apenas bloco estático"
"Static block and products","Bloco estático e Produtos"
"Statistics","Estatísticas"
"Start Time","Hora de Início"
"Startup Page","Página de Início"
"Stock Options","Opções de Estoque"
"Store Configuration","Configuração das Lojas"
"Store Hours of Operation","Horário de Funcionamento"
"Store Information","Informações da Loja"
"Store Name","Nome da Loja"
"Store Phone Number","Número de Telefone"
"Store Email Addresses","Emails da Loja"
"store view","visão"
"Store View","Visão"
"Store View:","Ambiente:"
"Storefront","Frontend"
"stores","Lojas"
"Stores","Lojas"
"Street Address","Endereço"
"Street Address Line 2", "Complemento"
"Strong","Forte"
"Subscribe","Assinar"
"System","Sistema"
"System Messages:","Mensagem do Sistema"
"=========================================================================","T"
"Tax","Taxas"
"Tax Rules","Regras de Taxas"
"Tax Zones and Rates","Áreas de Impostos"
"Taxes","Impostos"
"Terms and Conditions","Termos e Condições"
"Theme","Tema"
"Themes","Temas"
"There has been an error processing your request","Ocorreu um erro ao processar sua solicitação"
"This setting will not be taken into account if system has more than one store view.","Esta configuração não será levada em consideração se o sistema possuir mais de uma visão de loja."
"Thumbnail","Miniatura"
"Timezone","Timezone"
"To","Até"
"Top destinations","Destinos em Destaque"
"Top Search Terms","Termos Mais Buscados"
"Tools","Ferramentas"
"Translate Inline","Tradução Inline"
"Type","Tipo"
"=========================================================================","U"
"Unhold","Liberar"
"Update attributes","Atualizar atributos"
"Use All","Todos"
"Use Config Settings","Usar Configuração"
"Use HTTP Only","Usar Apenas HTTP"
"Use Secure URLs in Admin","Usar URL Segura no Admin"
"Use Secure URLs on Storefront","Usar URL Segura no Frontend"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usar URLs estáticas para o conteúdo de mídia do catálogo WYSIWYG"
"Use SID on Storefront","Usar SID no Frontend"
"Use system value","Usar padrão"
"Use Web Server Rewrites","Usar URL Amigável"
"User Content","Conteúdo de Usuários"
"User Roles","Cargos"
"User Name","Login"
"Username","Usuário"
"Url Options","Opções de URL"
"URL Key","URL Chave"
"URL Rewrites","Reescrita de URLs"
"=========================================================================","V"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate VAT Number","Validar CNPJ"
"VAT Number","CNPJ"
"Views","Visualizações"
"Visibility","Visibilidade"
"Virtual Product","Produto Virtual"
"=========================================================================","X"
"XML Sitemap","Sitemap"
"=========================================================================","W"
"We couldn't find any records.","Nenhum resultado encontrado."
"Weak","Fraco"
"Web","Web"
"Web API Security","Segurança da API"
"Web Setup Wizard","Web Setup Wizard"
"Weekly","Semanal"
"Weight Unit","Unidade de Peso"
"Welcome, please sign in","Acesse sua conta"
"Weekend Days","Final de Semana"
"What is this?","O que é isso?"
"Widgets","Widgets"
"Wish List","Favoritos"
"WYSIWYG Editor","Editor WYSIWYG"
"WYSIWYG Options","Opções WYSIWYG"
"=========================================================================","Y"
"Yahoo Finance Exchange","Yahoo Finance Exchange"
"Yes","Sim"
"Yes (302 Found)","Sim (302 Temporário)"
"Yes (301 Moved Permanently)","Sim (301 Permanente)"
"You saved the account.","Conta salva com sucesso."
"You saved the configuration.","Configurações salvas."
"Your current session has been expired.","Sua sessão expirou."
"Your Password","Sua Senha"
"=========================================================================","Z"
"ZIP/Postal Code","CEP"
"Zip/Postal Code is Optional for","CEP Opcional para"